Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
5000,7.36E-05,3.33E-07,4.51E-11,-3.01E-06,7.90E-05,7.65E-05,7.80E-05,7.60E-05,6.88E-05,6.94E-05,1.23E-06,7.62E-05
5000,6.94E-05,1.70E-07,9.87E-11,-8.82E-09,7.97E-05,7.74E-05,7.70E-05,7.56E-05,6.91E-05,6.92E-05,3.83E-06,7.63E-05
5000,7.36E-05,1.04E-07,1.25E-10,-8.78E-09,7.88E-05,7.69E-05,7.80E-05,7.45E-05,6.88E-05,6.92E-05,-2.49E-06,7.59E-05
5000,7.30E-05,1.32E-07,-1.31E-09,-7.04E-07,7.86E-05,7.71E-05,7.84E-05,7.13E-05,6.92E-05,6.94E-05,-6.43E-08,7.64E-05
5000,7.60E-05,1.33E-07,8.50E-11,-2.55E-08,7.93E-05,7.74E-05,7.80E-05,7.57E-05,6.89E-05,6.92E-05,5.23E-08,7.68E-05
5000,7.61E-05,1.30E-07,-7.45E-10,-2.78E-09,7.83E-05,7.81E-05,7.79E-05,7.60E-05,6.94E-05,6.90E-05,-2.16E-10,7.63E-05
6000,-9.90E-05,1.53E-07,-9.77E-11,-1.04E-09,5.06E-05,7.12E-05,5.12E-05,5.17E-05,4.12E-05,4.26E-05,9.08E-07,4.87E-05
6000,-1.32E-04,3.67E-08,-2.04E-10,-1.11E-09,5.35E-05,5.34E-05,3.97E-05,5.12E-05,4.56E-05,6.08E-05,5.18E-07,4.67E-05
6000,2.92E-04,2.25E-08,-1.94E-10,-8.88E-10,5.37E-05,4.99E-05,4.96E-05,5.07E-05,6.26E-05,6.07E-05,-1.10E-06,4.93E-05
6000,-9.03E-05,3.32E-08,-3.07E-10,-2.13E-06,4.91E-05,5.44E-05,5.15E-05,4.91E-05,4.07E-05,6.37E-05,-1.35E-06,5.09E-05
7500,-9.40E-06,-6.14E-08,-1.34E-10,-2.27E-08,-2.07E-05,-1.95E-05,-2.03E-05,-1.06E-07,-1.70E-05,-1.65E-05,5.97E-07,-2.04E-05
7500,-9.62E-06,8.35E-08,3.38E-10,1.81E-09,-1.99E-05,-1.95E-05,-2.04E-05,-1.28E-07,-1.70E-05,-1.68E-05,1.10E-08,-2.04E-05
7500,-9.77E-06,-6.98E-08,-8.41E-12,1.08E-09,-2.04E-05,-1.97E-05,-2.04E-05,-1.74E-07,-1.28E-05,-1.68E-05,-1.50E-06,-2.05E-05
7500,-9.07E-06,9.87E-08,-3.44E-10,8.73E-10,-1.99E-05,-1.94E-05,-2.03E-05,-3.46E-07,-1.71E-05,-1.69E-05,-3.39E-08,-2.05E-05
7500,-9.09E-06,2.73E-08,3.21E-10,-7.30E-09,-1.98E-05,-1.93E-05,-2.06E-05,-8.76E-07,-1.74E-05,-1.25E-05,-2.89E-08,-2.05E-05
